	condition	replicate
TA0	0hour_dark	A
TA1	15min_light	A
TA2	1hour_light	A
TA3	6hour_light	A
TA4	15min_dark	A
TA5	1hour_dark	A
TA6	6hour_dark	A
TB0	0hour_dark	B
TB1	15min_light	B
TB2	1hour_light	B
TB3	6hour_light	B
TB4	15min_dark	B
TB5	1hour_dark	B
TB6	6hour_dark	B
TC0	0hour_dark	C
TC1	15min_light	C
TC2	1hour_light	C
TC3	6hour_light	C
TC4	15min_dark	C
TC5	1hour_dark	C
TC6	6hour_dark	C
TE0	0hour_dark	E
TE1	15min_light	E
TE2	1hour_light	E
TE3	6hour_light	E
TE4	15min_dark	E
TE5	1hour_dark	E
TE6	6hour_dark	E
