locus_tag	MW0	MY0	MZ0	MW1	MY1	MZ1	MW2	MY2	MZ2	MW3	MX3	MY3	MZ3	MW4	MX4	MY4	MZ4	MW5	MX5	MY5	MW6	MX6	MY6	MZ6
 AURMO_00001:chromosomal replication initiator protein	2694	2613	2706	3015	1407	1779	1306	1905	3668	3016	1766	2520	829	2090	2965	1850	1602	3136	2794	3106	1195	2425	2110	2068
 AURMO_00002:LSU ribosomal protein L34P 	966	1046	1065	1292	608	635	723	532	1562	1349	562	924	245	696	992	659	474	1197	945	1168	444	982	672	621
 AURMO_00003:ribonuclease P protein component	337	318	359	387	157	202	164	219	535	367	125	260	79	220	339	200	135	366	266	355	125	311	218	161
 AURMO_00004:hypothetical protein	473	385	720	857	389	288	236	277	1130	843	320	675	144	402	823	440	636	963	476	1003	242	702	455	889
 AURMO_00005:YidC/Oxa1 family membrane protein insertase	3484	3405	3435	4258	2232	2697	2118	3013	5982	4619	2476	3602	1265	3173	4032	3318	2597	4031	3814	4874	1704	3241	2959	3257
 AURMO_00006:spoIIIJ-associated protein	1331	1248	1414	1757	871	934	808	1358	2429	2031	1004	1717	494	1239	1461	1164	1109	1589	1385	1948	650	1258	1155	1408
 AURMO_00007:16S rRNA m(7)G-527 methyltransferase 	630	637	786	871	425	619	422	653	1274	968	413	832	274	636	815	612	560	857	650	982	383	739	577	690
 AURMO_00008:chromosome partitioning protein	999	1031	997	1290	647	744	658	780	1642	1217	823	1060	401	1059	1430	880	812	1185	1261	1307	570	1141	844	948
 AURMO_00009:ParB family chromosome partitioning protein	558	611	703	824	510	502	385	672	1300	1068	555	926	285	728	1129	679	841	1027	640	1054	376	923	666	1002
 AURMO_00010:D-alanine-D-alanine ligase	1201	1105	1343	1649	841	879	784	1091	2615	1936	1058	1730	447	1253	1800	1206	1443	1718	1245	1776	648	1368	1130	1530
 AURMO_00011:DNA-binding transcriptional MocR family regulator	1994	1944	2181	2842	1303	1527	1386	1898	3967	2990	1887	2294	711	2134	3048	1825	1688	2669	2488	2784	1072	2225	1781	2013
 AURMO_00012:thioredoxin 	25372	30493	28232	33850	15582	17591	15226	24125	38561	30361	9063	20992	7269	18037	18481	17083	14853	27974	22353	32387	14047	26319	22046	19068
 AURMO_00013:thioredoxin reductase (NADPH)	23888	24489	27323	31230	14926	15863	13821	18128	38513	28011	7867	20342	6656	17792	17007	15327	14305	27854	17943	29481	13322	22426	19373	18371
 AURMO_00014:hypothetical protein	480	481	507	693	306	372	339	396	889	728	587	596	178	524	1266	407	482	674	543	607	285	1133	470	567
 AURMO_00015:poly(A) polymerase	745	715	768	1124	493	596	500	675	1441	1145	705	942	242	783	1460	748	821	1123	877	1079	422	1130	644	918
 AURMO_00016:SSU ribosomal protein S6P 	11943	10386	12859	15724	8159	8702	7451	11130	21179	16278	7525	11869	3664	7806	12919	7590	4953	11994	10956	13656	4316	10164	6588	5888
 AURMO_00017:single-strand binding protein 	7110	6214	8278	10609	5123	4812	4124	6301	13895	10280	4212	7676	2014	4504	8203	4328	3488	7723	5853	8962	2394	6425	3821	3969
 AURMO_00018:SSU ribosomal protein S18P 	2583	2565	2983	3350	1906	2072	1690	2690	4793	3491	1811	2733	904	1721	3012	1835	1186	2345	2571	3174	935	2420	1518	1281
 AURMO_00019:LSU ribosomal protein L9P 	7908	7836	8739	10246	5732	6345	4743	9517	15393	11074	5219	8510	2663	5224	8575	5727	3652	7822	7601	10018	2847	6829	4810	4087
 AURMO_00020:replicative DNA helicase	2003	2131	2005	2928	1415	1452	1312	1907	4268	3332	1763	2599	664	2460	2925	2266	2632	3605	2211	3493	1417	2085	2348	2854
 AURMO_00021:hypothetical protein	605	434	527	680	255	387	383	461	835	704	462	531	143	547	679	370	379	728	402	532	287	579	426	503
 AURMO_00022:hypothetical protein	929	819	788	1153	550	548	510	629	1502	1163	638	954	262	897	942	789	682	1359	809	1323	501	691	802	702
 AURMO_00023:adenylosuccinate lyase	2658	2900	3302	3960	2271	2661	2025	3476	6678	4547	3498	4135	1281	3526	4583	3421	3638	4063	3622	4580	1682	3223	2832	3274
 AURMO_00024:hypothetical protein	0	2	0	4	2	0	1	11	4	2	3	1	0	1	90	2	1	2	8	2	1	81	3	2
 AURMO_00025:alpha/beta hydrolase family protein	7	13	7	12	14	2	3	22	15	13	10	8	3	5	407	6	16	11	33	5	3	424	8	7
 AURMO_00026:putative membrane protein	1040	888	1094	1290	646	817	667	1044	1927	1446	1138	1344	425	1329	1406	1161	1354	1483	1100	1578	722	1182	1139	1412
 AURMO_00027:pyruvate dehydrogenase E1 component alpha subunit	1050	870	1058	1425	754	788	763	1146	2136	1678	1315	1668	396	1213	1718	1082	1396	1573	1241	1541	575	1294	970	1562
 AURMO_00028:pyruvate dehydrogenase E1 component beta subunit	1603	1558	1620	2248	1053	1249	1177	1750	3311	2670	2072	2176	633	1820	2587	1793	2128	2467	1969	2674	957	1756	1670	2420
 AURMO_00029:pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)	1755	1657	1860	2444	1293	1352	1240	2027	3769	3110	2198	2640	775	2178	2911	2193	2759	2957	2088	3359	1128	2229	2126	2993
 AURMO_00030:Fic family protein	1368	1227	1344	1532	699	957	658	1014	2005	1582	936	1270	355	1409	1541	1189	1410	1649	1397	1771	731	1152	1407	1489
 AURMO_00031:threonine/homoserine/homoserine lactone efflux protein	524	407	482	617	286	328	331	512	964	773	502	597	171	609	844	611	1050	880	536	930	358	604	626	1028
 AURMO_00032:phytoene dehydrogenase-like protein	4813	4361	4870	6727	3587	3442	3063	5170	9484	7778	4765	6274	1804	5178	6768	5285	9657	7681	5296	8793	3079	4951	5657	10286
 AURMO_00033:AsnC family transcriptional regulator 	1738	1489	1615	2300	1174	1162	1042	1694	3367	2614	1847	2104	629	2110	2354	1974	2531	2705	2061	2809	1060	1554	1872	2466
 AURMO_00034:3-oxoacid CoA-transferase subunit A	75	86	73	100	60	56	51	99	173	162	78	116	41	101	249	125	214	155	91	150	58	210	124	190
 AURMO_00035:3-oxoacid CoA-transferase subunit B	115	132	123	144	88	83	80	146	264	225	103	159	62	148	316	172	226	156	140	236	70	248	122	231
 AURMO_00036:acetyl-CoA C-acetyltransferase	156	163	163	200	122	121	118	194	371	296	152	252	91	212	474	238	318	233	178	288	93	418	209	289
 AURMO_00037:NAD(P)-dependent dehydrogenase (short-subunit alcohol dehydrogenase family)	78	62	79	79	72	50	43	99	154	97	58	85	32	64	297	99	136	90	84	115	28	251	105	122
 AURMO_00038:4-cresol dehydrogenase (hydroxylating)	738	724	735	872	547	562	517	772	1368	1247	711	1152	342	1171	1208	1109	1987	1475	772	1580	598	973	1287	2165
 AURMO_00039:hypothetical protein	72	69	52	78	47	53	42	69	121	100	87	90	29	72	158	79	102	104	87	99	31	131	68	91
 AURMO_00040:alpha/beta hydrolase family protein DUF1100	129	123	174	180	107	112	102	173	294	265	198	290	103	213	466	285	425	318	174	368	118	420	248	408
 AURMO_00041:3alpha(or 20beta)-hydroxysteroid dehydrogenase	18	10	11	20	16	11	14	20	22	19	20	18	8	21	180	19	31	24	18	25	21	183	21	42
 AURMO_00042:lactoylglutathione lyase/glyoxylase I family protein	20	15	15	26	13	8	16	14	32	32	11	17	7	44	84	18	49	42	18	37	12	98	25	56
 AURMO_00043:DNA-binding transcriptional repressor PuuR	46	52	61	67	34	33	37	65	116	84	49	81	25	82	177	96	141	76	60	110	68	151	93	135
 AURMO_00044:2-polyprenyl-6-methoxyphenol hydroxylase-like FAD-dependent oxidoreductase	87	88	77	126	78	57	64	109	182	161	74	128	39	178	330	167	288	189	148	240	105	340	184	406
 AURMO_00045:DNA-binding transcriptional LysR family regulator	666	649	618	814	400	461	433	532	1167	928	558	681	266	781	909	630	927	1023	658	1028	465	767	746	1003
 AURMO_00046:DHA1 family bicyclomycin/chloramphenicol resistance-like MFS transporter	112	101	126	151	84	90	100	91	240	170	119	195	61	127	376	106	164	171	133	150	89	317	137	163
" AURMO_00047:catechol-2,3-dioxygenase"	355	380	317	491	251	224	251	323	601	566	313	485	143	577	557	537	896	643	390	709	275	469	496	1133
 AURMO_00048:NAD(P)-dependent dehydrogenase (short-subunit alcohol dehydrogenase family)	145	159	139	205	113	103	89	145	299	250	95	192	68	189	277	187	459	281	160	265	93	265	218	510
